Hero,Hero Name,Role,Element,Hero Skill Names,Hero Skill Descriptions,Hero Skill Turns,Soul Burn Count,Soul Burn Descriptions
c2016,Abyssal Yufine,knight,dark,"[""Dragon's Breath"", ""Inner Abyss"", ""Frenzied Strike""]","[""Attacks [b]all enemies[/b] with dragon's breath, with a [color=orange]60%[/color] chance to [color=red]decrease Attack[/color] for 1 turn. Damage dealt increases proportional to the [b]caster's Defense[/b]. When the caster is inflicted with [color=red]trauma[/color], activates Unbridled Outburst instead of Dragon's Breath. [b]Unbridled Outburst[/b] : Attacks the enemy with a massive blade. [b]Penetrates[/b] the target's Defense by 70%."", ""When the enemy is not an Elite or Boss monster, [b]reduces the effect of Combat Readiness increases[/b] granted to the enemy by [color=orange]50%[/color]. This effect does not stack with other passive effects of the same name. When attacked, gains 20 [b]Fighting Spirit[/b] and has a 30% chance to [b]counterattack[/b]. At the start of the turn, when [b]Fighting Spirit[/b] is full, [b]dispels all debuffs[/b] from the caster."", ""Inflicts [color=red]trauma[/color] on the caster for 3 turns, before attacking [b]all enemies[/b], [b]dispelling all buffs[/b] and [b]decreasing Combat Readiness[/b] by 50%. [b]Ignores Effect Resistance[/b].""]","['', '', '4 turns']","['Soulburn (10 souls)', '', '']","[""Increases damage dealt."", """", """"]"
c2002,Fallen Cecilia,knight,dark,"[""Mistake"", ""Strong Instinct"", ""Spear of Resentment""]","[""Attacks with a spear of revenge, with a [color=orange]100%[/color] chance to [color=red]provoke[/color] for 1 turn. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""Grants a [color=#1080e5]barrier[/color] for 2 turns to all allies at the start of the battle, and grants a [color=#1080e5]barrier[/color] for 2 turns to the ally with the lowest Health at the end of the caster's turn. Barrier strength increases proportional to the [b]caster's max Health[/b]."", ""Attacks [b]all enemies[/b] in an explosion of spiteful emotions. Grants all allies [color=#1080e5]skill nullifier[/color], negating damage received from the next skill attack. Damage dealt increases proportional to the [b]caster's max Health[/b].""]","['', '', '5 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Skill cooldown is decreased by 2 turns.""]"
c2007,Arbiter Vildred,assassin,dark,"[""Sweep"", ""Dark Contract"", ""Dark Blade""]","[""Rapidly attacks [b]two enemies[/b] with a swordstorm, [b]decreasing their Combat Readiness[/b] by [color=orange]15%[/color]."", ""Upon receiving lethal damage, [b]regenerates[/b] to [color=orange]100%[/color] Health, [b]increases Combat Readiness[/b] of the caster by 100%, fully recovers the caster's [b]Focus[/b], and [b]resets skill cooldown[/b] of Dark Blade."", ""Attacks [b]all enemies[/b], [color=red]decreasing Hit Chance[/color] for 2 turns. When [b]Focus[/b] is full, [b]consumes it all[/b], increasing damage dealt. When the enemy is defeated with this skill, [b]cooldown does not occur[/b].""]","['', '5 turns', '5 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Increases damage dealt.""]"
c2027,Closer Charles,assassin,dark,"[""Elimination"", ""Closer"", ""Descent""]","[""Sharply cuts the enemy to attack. When used on the caster's turn, if the caster is granted [color=#1080e5]perception[/color], uses Demolition instead of Elimination. [b]Demolition[/b] : Attacks the enemy with a sword, [b]absorbing[/b] some of the [b]damage dealt as Health[/b]. Damage dealt increases proportional to the [b]target's lost Health[/b]. When the enemy is defeated, [b]decreases cooldown[/b] of Descent by 1 turn. This attack does not trigger a Dual Attack."", ""At the start of the first battle, [color=#1080e5]increases Evasion[/color] for 1 turn. After an ally except for the caster attacks, when the enemy's Health is less than 40%, [b]increases Combat Readiness[/b] of the caster by [color=orange]50%[/color] and grants [color=#1080e5]perception[/color] for 2 turns. Can only be activated once every 2 turns."", ""Attacks [b]all enemies[/b] after descending, [color=#1080e5]increasing Attack[/color] of all allies for 2 turns before [b]increasing Combat Readiness[/b] by 20%. [color=#1080e5]Increases Evasion[/color] of the caster for 3 turns. This skill [b]cannot trigger a counterattack[/b].""]","['', '2 turns', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Increases damage dealt.""]"
c2074,Remnant Violet,assassin,dark,"[""Sword Flash"", ""Concentration"", ""Massacre""]","[""Cuts the enemy, with a [color=orange]75%[/color] chance to [color=red]decrease Hit Chance[/color] for 1 turn."", ""[b]Increases Evasion[/b] by [color=orange]50%[/color], and after successfully evading, gains 1 Focus. When Focus is at 5 after attacking or being attacked, consumes it all and [b]uses Massacre[/b] against a random enemy."", ""[color=#1080e5]Increases Attack[/color] of the caster for 3 turns, before attacking with a sword. [b]Penetrates[/b] Defense by 50%.""]","['', '', '5 turns']","['Soulburn (20 souls)', '', '']","[""Grants an [b]extra turn[/b]."", """", """"]"
c2024,Briar Witch Iseria,ranger,dark,"[""Fallen Flower"", ""Witch's Curse"", ""Cursed Thorn""]","[""Throws swords at the enemy, with a [color=orange]75%[/color] chance to [color=red]decrease Defense[/color] for 1 turn. A successful attack deals [b]additional damage[/b] proportional to the [b]caster's Attack[/b]."", ""[b]Increases Hit Chance[/b] by [color=orange]50%[/color]. Allies and enemies [b]cannot revive[/b]. Upon receiving lethal damage, grants [color=#1080e5]immortality[/color] for 1 turn. Immortality effect can only be activated once every 5 turns."", ""Attacks [b]all enemies[/b] with a cursed thornbush, [b]dispelling all buffs[/b], with a [color=orange]75%[/color] chance to [color=red]decrease Defense[/color] for 2 turns and a [color=orange]100%[/color] chance to make them [color=red]unable to be buffed[/color] for 2 turns. A successful attack deals [b]additional damage[/b] proportional to the [b]caster's Attack[/b].""]","['', '5 turns', '4 turns']","['', '', 'Soulburn (20 souls)']","["""", """", ""Ignores [b]Effect Resistance[/b].""]"
c2126,Hellion Lua,ranger,dark,"[""Lua Attack"", ""Lua Squad"", ""Lua's Challenge""]","[""Attacks the enemy and has a [color=orange]100%[/color] chance to [color=red]provoke[/color] for 1 turn."", ""After being attacked by a Hero, [b]increases Combat Readiness[/b] of all allies by [color=orange]10%[/color] and makes all allies granted with [color=#1080e5]challenge[/color] counterattack."", ""Grants [color=#1080e5]challenge[/color] to all allies, before [color=#1080e5]increasing Defense[/color] of the caster for 2 turns. [b]Decreases buff durations[/b] of all enemies by 1 turn and has a [color=orange]100%[/color] chance to [color=red]provoke[/color] for 1 turn.""]","['', '', '3 turns']","['', '', 'Soulburn (20 souls)']","["""", """", ""[b]Ignores Effect Resistance[/b].""]"
c2072,Operator Sigret,ranger,dark,"[""Incision"", ""Annihilation"", ""Obliterate""]","[""Attacks the enemy with a scythe, before [b]healing[/b] the ally with the lowest Health. Amount recovered increases proportional to the [b]caster's Attack[/b]."", ""Batters the enemy with a scythe. Grants an [b]extra turn[/b] when the enemy is defeated. [b]Penetrates[/b] the target's Defense by 50%, or by 100% when the target is granted a [color=#1080e5]barrier[/color]. Damage dealt increases proportional to the [b]caster's Speed[/b]."", ""Calls in drones to attack [b]all enemies[/b], with a [color=orange]100%[/color] chance each to [b]decrease buff durations[/b] by 1 turn before [b]decreasing Combat Readiness[/b] by 20%. [color=#1080e5]Increases Attack[/color] of all allies for 2 turns. When the target is granted a [color=#1080e5]barrier[/color], [b]ignores Effect Resistance[/b]. Damage dealt increases proportional to the [b]caster's Speed[/b].""]","['', '4 turns', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Extends duration of buffs granted by this skill by 1 turn.""]"
c2110,Pirate Captain Flan,ranger,dark,"[""Execution"", ""Scourge of the Sea"", ""Full Burst""]","[""Attacks the enemy with a gun, [b]stealing one buff[/b]. At the end of the turn, [b]detonates[/b] [color=red]burn[/color] and [color=red]bomb[/color] effects inflicted on the target."", ""[b]Effectiveness increases[/b] by 50%. When attacking, [b]cannot trigger a critical hit[/b]. When attacked, [b]decreases damage suffered by 30%[/b]. When more than one damage reduction effect is granted, only the strongest effect is applied. After an ally attacks, when the target does not have a buff, [b]activates Hunt[/b]. Hunt can only be activated once every 3 turns. [b]Hunt[/b] : Raises morale of all allies, [b]increasing Combat Readiness[/b] by [color=orange]15%[/color]."", ""[color=#1080e5]Increases Attack[/color] of the caster for 3 turns and attacks [b]all enemies[/b] with a barrage of cannon fire, inflicting [color=red]burn[/color] and planting a [color=red]bomb[/color] for 2 turns before [b]decreasing Combat Readiness[/b] by 30%. [b]Increases Combat Readiness[/b] of the caster by 50%.""]","['', '3 turns', '4 turns']","['Soulburn (20 souls)', '', '']","[""Grants an [b]extra turn[/b]."", """", """"]"
c2112,Sea Phantom Politis,ranger,dark,"[""Graceful Gesture"", ""Phantom's Waltz"", ""Fanatic Ball""]","[""Attacks the enemy with phantoms, [b]dispelling one buff[/b]. When the caster is [color=#1080e5]enraged[/color], triggers a [b]Dual Attack[/b] from the ally with the highest Attack"", ""[b]Decreases the amount of resources gained[/b] by the enemy by 50%. At the start of battle and at the end of the turn, has a [color=orange]100%[/color] chance to grant [color=#1080e5]stealth[/color] for 1 turn."", ""Hosts a ball, making all allies [color=#1080e5]enraged[/color] for 2 turns. [b]Dispels two buffs[/b] from all enemies and [color=red]decreases Speed[/color] for 2 turns before [b]decreasing Combat Readiness[/b] by 20%.""]","['', '', '4 turns']","['', '', 'Soulburn (20 souls)']","["""", """", ""[b]Ignores Effect Resistance[/b].""]"
c1155,Ainz Ooal Gown,mage,dark,"[""Lightning of Judgment"", ""Overlord of Death"", ""The Goal of All Life Is Death""]","[""Attacks all enemies with lightning, with a 25% chance to [color=red]stun[/color] for 1 turn."", ""Increases damage suffered from Light elemental enemies by 30%. When an ally is attacked, has a [color=orange]35%[/color] chance to [b]activate Mana Barrier[/b]. Mana Barrier can only be activated once every 3 turns. [b]Mana Barrier[/b] : Grants a [color=#1080e5]barrier[/color] to all allies for 2 turns, and the caster adopts a [color=#1080e5]counterattacking[/color] stance for 2 turns. Barrier strength increases proportional to the [b]caster's max Health[/b]."", ""[b]Dispels all buffs[/b] from the enemy before [color=red]silencing[/color] for 1 turn and a [color=orange]100%[/color] chance to inflict [color=red]death sentence[/color]. This skill is unaffected by cooldown increase and decrease effects.""]","['', '3 turns', '3 turns']","['Soulburn (20 souls)', '', '']","[""Grants an [b]extra turn[/b]."", """", """"]"
c5004,Archdemon's Shadow,mage,dark,"[""Touch of Chaos"", ""Twisted Power"", ""Dissolution""]","[""Has a [color=orange]100%[/color] chance to [color=red]seal[/color] the enemy for 2 turns, before attacking with lightning."", ""[b]Damage suffered from a critical hit[/b] decreases by [color=orange]30%[/color]. When more than one damage reduction effect is granted, only the strongest effect is applied. After using a basic skill, when the target is [color=red]sealed[/color], [color=#1080e5]increases Attack[/color] of the caster for 1 turn before [b]activating Burst[/b]. [b]Burst[/b] : Attacks [b]all enemies[/b], and [b]increases Combat Readiness[/b] of the caster by 25% before gaining 1 [b]Focus[/b]. A successful attack deals [b]additional damage[/b] proportional to the [b]caster's Attack[/b]."", ""Attacks [b]all enemies[/b] with the power of Ilryos, with a [color=orange]80%[/color] chance to [color=red]decrease Defense[/color] for 2 turns, and a [color=orange]100%[/color] chance each to inflict two [color=red]burn[/color] effects for 2 turns. Grants the caster an [b]extra turn[/b]. This skill [b]cannot trigger a counterattack[/b].""]","['', '', 'Consume 5 Focus']","['Soulburn (10 souls)', '', '']","[""[b]Ignores Effect Resistance[/b]."", """", """"]"
c2069,Eternal Wanderer Ludwig,mage,dark,"[""How Trivial"", ""Let's Have Some Fun"", ""Can You Handle This?""]","[""Attacks the enemy with mana, before [color=#1080e5]increasing Attack[/color] of the caster for 1 turn."", ""Attacks the enemy with powerful mana, before granting [color=#1080e5]increased Hit Chance[/color] for 2 turns and [color=#1080e5]skill nullifier[/color] once to the caster."", ""Attacks [b]all enemies[/b] with the essence of magical engineering. When someone uses a [b]Soulburn[/b], [b]increases Combat Readiness[/b] of the caster by 20% and [b]penetration[/b] rate of this skill by 30%. Penetration rate increase effect can stack up to 2 times.""]","['', '3 turns', '4 turns']","['Soulburn (20 souls)', 'Soulburn (20 souls)', '']","[""Extends duration of buffs granted by this skill by 1 turn and grants an [b]extra turn[/b]."", ""Extends duration of buffs granted by this skill by 1 turn and grants an [b]extra turn[/b]."", """"]"
c1153,Harsetti,mage,dark,"[""Gambit"", ""The Law of Skuggiheim"", ""Checkmate""]","[""Attacks the enemy, with a [color=orange]75%[/color] chance to [color=red]decrease Defense[/color] for 1 turn. When it is the caster's turn, uses En Passant as an [b]extra attack[/b]. Damage dealt increases proportional to the [b]caster's max Health[/b]. [b]En Passant[/b] : Attacks [b]all enemies[/b], with a 60% chance to [color=red]decrease Attack[/color] for 1 turn. Damage dealt increases proportional to the [b]caster's max Health[/b]."", ""At the start of battle, Speed of the caster is fixed going forward, and Speed of all Heroes except for the caster is limited to a maximum of 90% of the caster's Speed. On the caster's turn, Combat Readiness increase effects of all Heroes is not applied. The Law of Skuggiheim only applies to PvP."", ""Attacks [b]all enemies[/b], [b]decreasing buff durations[/b] by 2 turns and a [color=orange]100%[/color] chance each to inflict [color=red]unable to counterattack[/color] and [color=red]unable to be buffed[/color] for 2 turns. [b]Penetrates[/b] the target's Defense. When Focus is full, consumes it all, increasing damage dealt. Damage dealt increases proportional to the [b]caster's max Health[/b].""]","['', '', '4 turns']","['Soulburn (10 souls)', '', '']","[""Effect Chance of Gambit increases to 100%, and [color=red]decreases Defense[/color] for 2 turns."", """", """"]"
c2102,Requiem Roana,mage,dark,"[""Touch of Darkness"", ""Boundless Obsession"", ""Eternal Lament""]","[""Attacks the enemy with magic, with a [color=orange]75%[/color] chance to [color=red]decrease Defense[/color] for 1 turn. [b]Cannot trigger a critical hit[/b], and a successful attack deals [b]additional damage[/b] proportional to the [b]caster's Attack[/b]."", ""[b]Reduces the effect of Combat Readiness increases provided by Speed[/b] by 50%. At the start of the foremost ally's turn except for the caster, [b]increases Combat Readiness[/b] of the caster by [color=orange]100%[/color]."", ""Attacks [b]all enemies[/b] with a horde of illusions, [b]dispelling one buff[/b] before [b]increasing cooldowns[/b] by 1 turn and [b]decreasing Combat Readiness[/b] by 30%. [b]Cannot trigger a critical hit[/b], and [b]penetrates[/b] the target's Defense.""]","['', '', '4 turns']","['Soulburn (10 souls)', '', '']","[""Increase effect chance to 100% and [color=red]decrease Defense[/color] of the target for 2 turns."", """", """"]"
c2050,Specter Tenebria,mage,dark,"[""Poison Blast"", ""Nightmare Illusion"", ""Endless Nightmare""]","[""Attacks with an explosion of poison energy, with a [color=orange]70%[/color] chance to inflict [color=red]poison[/color] for 2 turns. This skill [b]cannot trigger a counterattack[/b]. Attacks [b]two enemies[/b] when Endless Nightmare is unavailable due to cooldown count."", ""[color=#1080e5]Illusion[/color] will remain throughout the battle. [b]Increases Attack[/b] and [b]Defense[/b] of the caster by [color=orange]10%[/color] every time somebody dies. Effect can only stack up to 5 times."", ""Attacks with a nightmare crystal, [color=red]stunning[/color] for 1 turn. [b]Decreases the Combat Readiness[/b] of all remaining enemies by 50% when an enemy dies. Damage dealt increases proportional to the [b]number of debuffs[/b] inflicted on the enemy.""]","['', '', '4 turns']","['Soulburn (20 souls)', '', '']","[""Grants an [b]extra turn[/b]."", """", """"]"
c2082,Top Model Luluca,mage,dark,"[""Energy Blast"", ""Victory Pose"", ""Demolish""]","[""Uses the suit's energy to attack the enemy. When used on the caster's turn, has a 40% chance to grant an [b]extra attack[/b] with the same skill. When the enemy is not an Elite or Boss monster, [b]damage sharing effects are ignored[/b]."", ""Manifests the suit's energy, granting a [color=#1080e5]barrier[/color] to the caster for 3 turns and [color=#1080e5]increasing Attack[/color] of all allies except for the caster for 2 turns. Grants the caster an [b]extra turn[/b]. Barrier strength increases proportional to the [b]caster's level[/b]."", ""[color=#1080e5]Increases Attack[/color] of the caster for 3 turns, before attacking the enemy with dimensionalenergy and when the enemy is defeated, inflicts [b]extinction[/b]. [b]Increases Combat Readiness[/b] of all allies by 20%, and grants [color=#1080e5]stealth[/color] to the casterfor 2 turns. Damage dealt increases proportional to the [b]caster's Speed[/b].""]","['', '4 turns', '4 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""Increases damage dealt.""]"
c1133,Zio,mage,dark,"[""Let Me Destroy You"", ""Supreme Authority"", ""Bow Down Before Me""]","[""Attacks the enemy with a spear, before [color=#1080e5]increasing Attack[/color] of the caster for 1 turn. When the caster is [color=#1080e5]deified[/color], activates Disappear as an [b]extra attack[/b]. Disappear can only be activated once per turn, during the caster's turn. [b]Disappear[/b] : Attacks the enemy with a swordstorm, and when the enemy is defeated, [b]increases Combat Readiness[/b] of the caster by 50%. [b]Penetrates[/b] the target's Defense by 50%."", ""At the start of the first battle, [b]increases Combat Readiness[/b] by [color=orange]20%[/color]. Unaffected by effects that reduce Combat Readiness increases the caster receives."", ""Attacks the enemy, [b]dispelling two buffs[/b] before [color=red]silencing[/color] for 1 turn and [b]decreasing Combat Readiness[/b] by [color=orange]40%[/color]. Grants [color=#1080e5]deify[/color] to the caster for 3 turns. [b]Penetrates[/b] the target's Defense by 100% and [b]cannot trigger a critical hit[/b]. When the target is a Hero, damage dealt increases proportional to the [b]target's current Health[/b].""]","['', '', '5 turns']","['', '', 'Soulburn (10 souls)']","["""", """", ""[b]Dispels all buffs[/b] from the target.""]"
c2039,Blood Moon Haste,manauser,dark,"[""Blood Scythe"", ""Grudge"", ""Moon Slash""]","[""Attacks by swinging a scythe, [b]dispelling one buff[/b]. Damage dealt increases proportional to the [b]caster's max Health[/b]. When dispelling the target's buff, activates Blood Retribution as an [b]extra attack[/b]. [b]Bloody Retribution[/b] : Attacks the enemy with a scythe, and [b]recovers Health[/b] of all allies. Damage dealt and amount recovered increase proportional to the [b]caster's max Health[/b]."", ""When attacking, [b]penetrates[/b] the target's Defense, and [b]cannot trigger a critical hit[/b]. When an ally dies, grants a [color=#1080e5]barrier[/color] and [color=#1080e5]immunity[/color] to all allies for 2 turns, and grants [color=#1080e5]blood aura[/color] to the caster for 2 turns. Barrier strength increases proportional to the [b]caster's max Health[/b]. Can only be activated once every 4 turns."", ""[b]Dispels all buffs[/b] from the enemy before attacking with a scythe. When the enemy is defeated, [b]revives[/b] all dead allies before granting [color=#1080e5]immortality[/color] for 1 turn. When the caster is granted blood aura, increases damage dealt by 100%. Damage dealt increases proportional to the [b]caster's max Health[/b].""]","['', '', '3 turns']","['Soulburn (10 souls)', '', '']","[""[b]Ignores Effect Resistance[/b]."", """", """"]"
c2090,Death Dealer Ray,manauser,dark,"[""Clinical Trial"", ""Anatomical Mutation"", ""Cloud of Death""]","[""Attacks the enemy by throwing an experimental drug at them and has a [color=orange]75%[/color] chance to put them to [color=red]sleep[/color] for 1 turn. A successful attack deals [b]additional damage[/b] equivalent to 40% of [b]injuries[/b] inflicted on the target. This skill does not trigger a Dual Attack."", ""Grants [color=#1080e5]increased Effectiveness[/color] and [color=#1080e5]pestilence[/color] to all allies for 2 turns and [b]increases Combat Readiness[/b] by [color=orange]20%[/color]."", ""Releases a miasma of fatal poison, [b]dispelling two buffs[/b] from all enemies and has a [color=orange]100%[/color] chance to put them to [color=red]sleep[/color] for 1 turn and inflict [color=red]venom[/color] for 2 turns. Grants an [b]extra turn[/b] to the caster.""]","['', '3 turns', '5 turns']","['Soulburn (10 souls)', '', '']","[""Increases effect chance to 100%."", """", """"]"
c1012,Corvus,warrior,fire,"[""Shield Slam"", ""Macerate"", ""Fury's Advent""]","[""Attacks the enemy by shoving them with a shield, with a [color=orange]75%[/color] chance to [b]transfer[/b] one debuff from the caster to the enemy. When the caster is granted [color=#1080e5]indomitable[/color], damage dealt is increased and the enemy is [color=red]stunned[/color] for 1 turn. Damage dealt increases proportional to the [b]caster's Defense[/b]."", ""Attacks [b]all enemies[/b] with an iron mace, [b]decreasing Combat Readiness[/b] by [color=orange]30%[/color]. When the enemy's Combat Readiness reaches 0, [color=red]stuns[/color] for 1 turn. When the caster is granted [color=#1080e5]indomitable[/color], doubles the amount of Combat Readiness decrease. Damage dealt increases proportional to the [b]caster's Defense[/b]."", ""By [b]discharging Fighting Spirit[/b], grants [color=#1080e5]indomitable[/color] to the caster for 3 turns and [b]recovers Health[/b] before granting an [b]extra turn[/b]. Begins the first battle with [b]50 Fighting Spirit[/b]. [b]Gains 10 Fighting Spirit[/b] when attacked.""]","['', '', '3 turns']","['', '', 'Soulburn (20 souls)']","["""", """", ""Amount of Health recovered is doubled.""]"
c1021,Dingo,warrior,fire,"[""Prep Ingredients"", ""Quick Grill"", ""Free Dinner""]","[""Cuts the enemy with a cleaver, with a [color=orange]50%[/color] chance to inflict [color=red]bleeding[/color] for 2 turns. After attack, there's a 30% chance to [b]activate Quick Grill[/b]."", ""Attacks [b]all enemies[/b] with the Glove Oven, [b]recovering the caster's Health[/b]. When the enemy is [color=red]bleeding[/color], has a [color=orange]100%[/color] chance to inflict [color=red]burn[/color] for 2 turns. Amount recovered increases proportional to damage dealt."", ""Provides all allies with a meal, [b]dispelling all debuffs[/b] and [color=#1080e5]increasing Critical Hit Chance[/color] for 2 turns before [b]decreasing skill cooldown[/b] by 1 turn. Grants the caster an [b]extra turn[/b]. Every time an enemy dies, the [b]cooldown for this skill decreases[/b] by 1 turn.""]","['', '3 turns', '5 turns']","['Soulburn (20 souls)', '', '']","[""Grants an [b]extra turn[/b]."", """", """"]"
c1085,Khawazu,warrior,fire,"[""Flame Strike"", ""Composure"", ""Emberstorm""]","[""Attacks the enemy with a ball of flame, with a [color=orange]50%[/color] chance to [color=red]decrease Defense[/color] for 2 turns. After attacking, has a 35% chance to activate Burning Vitality. [b]Burning Vitality[/b] : [b]Increases Combat Readiness[/b] of the caster by 20%."", ""When the caster is debuffed after being attacked, [b]dispels all debuffs[/b] and [color=#1080e5]increases Attack[/color] of the caster for 2 turns. Can only be activated once every [color=orange]2[/color] turns."", ""Attacks with a fiery explosion, making the target [color=red]unhealable[/color] and [color=red]decreasing Defense[/color] for 2 turns each.""]","['', '2 turns', '3 turns']","['Soulburn (10 souls)', '', '']","[""100% chance to decrease Defense."", """", """"]"
c1032,Maya,knight,fire,"[""Weakening Blow"", ""Concuss"", ""Morale Boost""]","[""Attacks with a blunt weapon, with a [color=orange]35%[/color] chance to [color=red]stun[/color] for 1 turn. Damage dealt increases proportional to the [b]caster's Defense[/b]."", ""Attacks with a shield, with a [color=orange]100%[/color] chance each to [color=red]stun[/color] for 1 turn before [b]decreasing Combat Readiness[/b] by 30%. Damage dealt increases proportional to the [b]caster's Defense[/b]."", ""Has a [color=orange]75%[/color] chance to [color=red]provoke[/color] all enemies for 1 turn, before a [color=orange]100%[/color] chance to [color=red]decrease Attack[/color] for 2 turns. [color=#1080e5]Increases Defense[/color] of all allies for 2 turns.""]","['', '3 turns', '4 turns']","['', 'Soulburn (10 souls)', '']","["""", ""[b]Skill cooldown is decreased[/b] by 2 turns."", """"]"
c1086,Khawana,assassin,fire,"[""Hey There!"", ""Casual Introduction"", ""Rough Welcome""]","[""Attacks the enemy with sharp sickles, with a [color=orange]50%[/color] chance each to inflict two [color=red]bleeding[/color] effects for 2 turns. If the enemy is debuffed after the attack, [b]additional damage[/b] is inflicted."", ""Attacks [b]all enemies[/b] with a flame guardian, before [color=#1080e5]increasing Attack[/color] of all allies for 2 turns. Grants [color=#1080e5]skill nullifier[/color] once to Fire elemental allies. Damage dealt increases proportional to the [b]caster's Speed[/b]."", ""Attacks the enemy with a flame guardian, [b]dispelling two buffs[/b] before [color=red]stunning[/color] for 1 turn. [b]Increases Combat Readiness[/b] of Fire elemental allies by 20%. Damage dealt increases proportional to the [b]caster's Speed[/b].""]","['', '4 turns', '4 turns']","['', 'Soulburn (20 souls)', '']","["""", ""Grants an [b]extra turn[/b]."", """"]"
c1065,Surin,assassin,fire,"[""Chain Dagger"", ""Edge Smash"", ""Implosion""]","[""Attacks with a chain axe. When the enemy is [color=red]bleeding[/color], causes two [color=red]bleeding[/color] effects for 2 turns."", ""Batters the enemy with a chain axe and inflicts two to four [color=red]bleeding[/color] effects for 2 turns, [color=red]decreasing Attack[/color] for 1 turn."", ""Triggers all the [color=red]bleeding[/color] effects currently inflicted on the enemy. Damage dealt increases proportional to the [b]number of bleeding effects[/b] inflicted on the enemy, and [b]debuff duration is extended[/b] by 1 turn. Additionally, the caster's [b]Combat Readiness increases[/b] by 15% per every [color=red]bleeding[/color] effect inflicted on the enemy. Effect can only be applied up to 5 times.""]","['', '3 turns', '4 turns']","['', 'Soulburn (20 souls)', '']","["""", ""Grants an [b]extra turn[/b]."", """"]"
c1020,Schuri,ranger,fire,"[""Rapid Fire"", ""Explosive Gentleman"", ""Rifle Shot""]","[""Attack the enemy with a pistol, with a [color=orange]30%[/color] chance to inflict [color=red]poison[/color] for 2 turns."", ""After delivering a critical hit, the caster [b]gains 1 Focus[/b], and the [b]Combat Readiness of all allies except the caster is increased[/b] by [color=orange]25%[/color]."", ""Shoots [b]all enemies[/b] with a rifle. When the caster's stacked Focus is 3 or more, this skill is enhanced into Full Burst. A successful attack with Full Burst [b]always results in a critical hit[/b], [b]decreasing Combat Readiness[/b] of all enemies by 30%.""]","['', '', '3 turns']","['', '', 'Soulburn (20 souls)']","["""", """", ""Grants an [b]extra turn[/b].""]"
c1150,Veronica,ranger,fire,"[""Rapid Fire"", ""Vampire Hunter"", ""Chain Explosion""]","[""Attack the enemy by shooting, and [b]increases Combat Readiness[/b] of the ally with the highest Combat Readiness except for the caster by [color=orange]15%[/color]. At the end of the turn [b]detonates bomb[/b] effects inflicted on the target."", ""At the start of the turn, [b]dispels[/b] [color=#1080e5]immortality[/color] from all enemies. [b]Ignores Effect Resistance[/b]. At the end of someone's turn, when an enemy has [color=#1080e5]immortality[/color], [b]increases Combat Readiness[/b] of the caster by [color=orange]50%[/color]."", ""Attacks the enemy, [b]dispelling[/b] two buffs before inflicting [color=red]decreased Defense[/color] and [color=red]bomb[/color] for 2 turns. A critical hit will grant an [b]extra turn[/b].""]","['', '', '4 turns']","['', '', 'Soulburn (20 souls)']","["""", """", ""[b]Ignores Effect Resistance[/b].""]"
c1005,Mercedes,mage,fire,"[""Divine Bolt"", ""Dimensional Rupture"", ""Blazing Eye of Kal""]","[""Attacks [b]two enemies[/b] with shock magic, before [b]increasing Combat Readiness[/b] of the caster by 15%."", ""Attacks [b]all enemies[/b] with a light sphere, with a [color=orange]70%[/color] chance to [b]dispel one buff[/b]. When the caster is granted [color=#1080e5]increased Attack[/color], grants an [b]extra attack[/b] with the same skill."", ""Releases the power of the Ancient Book to attack [b]all enemies[/b] before [color=#1080e5]increasing Attack[/color] of all allies for 2 turns.After completing Eureka - 10. East Politia - 10-10. Central Control Room: [color=red]Volatility[/color] will remain throughout the battle.After completing Eureka - 10. East Politia - The Final Destination: [color=red]Volatility[/color] debuff is replaced by [color=#1080e5]Immense Power[/color].""]","['', '3 turns', '3 turns']","['Soulburn (10 souls)', '', '']","[""Extends duration of buffs granted by this skill by 1 turn."", """", """"]"
c1040,Serila,mage,fire,"[""Seduction"", ""Spirit Absorb"", ""Flame Kiss""]","[""Attacks with a flame of seduction, with a [color=orange]50%[/color] chance to [color=red]decrease Defense[/color] for 2 turns."", ""Attacks the enemy, with a [color=orange]75%[/color] chance to [color=red]decrease Attack[/color] for 2 turns, and when the enemy is defeated, [b]resets cooldown[/b]. [color=#1080e5]Increases Attack[/color] of the caster for 2 turns and [b]recovers Health[/b]. Amount recovered increases proportional to damage dealt."", ""Swallows the enemy in the flame of Chatty, the magic lantern, with a [color=orange]100%[/color] chance each to inflict two [color=red]burn[/color] effects for 2 turns.""]","['', '3 turns', '4 turns']","['', 'Soulburn (10 souls)', '']","["""", ""Increases damage dealt."", """"]"
